player,team,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,agent,map,tourney_type,game_id,match_id,role_agent,total_round,ot,win_lose
Meteor,GEN,1,2,0,0,0,0,1,0,0,Jett,Lotus,League Play: Week 2,119536,184465,Duelist,21,No,win
takej,DFM,3,1,0,0,0,0,0,0,0,Viper,Lotus,League Play: Week 2,119536,184465,Controller,21,No,lose
Reita,DFM,2,0,0,0,0,0,0,0,0,Cypher,Lotus,League Play: Week 2,119536,184465,Sentinel,21,No,lose
Suggest,DFM,3,1,0,1,0,0,0,0,0,Raze,Lotus,League Play: Week 2,119536,184465,Duelist,21,No,lose
Anthem,DFM,3,0,0,0,0,0,0,0,0,Skye,Lotus,League Play: Week 2,119536,184465,Initiator,21,No,lose
xnfri,DFM,3,1,0,0,0,0,0,0,0,Omen,Lotus,League Play: Week 2,119536,184465,Controller,21,No,lose
k1Ng,GEN,0,1,0,0,0,0,0,0,0,Viper,Fracture,League Play: Week 2,119537,184465,Controller,17,No,lose
TS,GEN,1,0,0,0,0,0,0,0,0,Astra,Fracture,League Play: Week 2,119537,184465,Controller,17,No,lose
eKo,GEN,1,0,0,0,0,0,0,0,0,Breach,Fracture,League Play: Week 2,119537,184465,Initiator,17,No,lose
GodDead,GEN,2,0,0,0,1,0,0,0,0,Kayo,Fracture,League Play: Week 2,119537,184465,Initiator,17,No,lose
